               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.019858,           0.0046574,           0.0022894,             0.95182,             0.95751,             0.97487,              0.6977,            0.023449,           0.0066306,           0.0039025,            0.004654,            0.004654,            0.004654
                 110,            0.019681,           0.0048421,           0.0022524,             0.95971,             0.95742,             0.97502,             0.69924,            0.023862,           0.0066796,           0.0039174,           0.0046045,           0.0046045,           0.0046045
                 111,            0.019214,            0.004765,           0.0022633,             0.95793,             0.95926,              0.9781,             0.70316,            0.023808,            0.006624,           0.0036744,            0.004555,            0.004555,            0.004555
                 112,            0.019437,           0.0047175,           0.0022729,             0.95395,             0.96531,             0.97861,             0.70507,            0.023765,           0.0066315,           0.0037874,           0.0045055,           0.0045055,           0.0045055
                 113,            0.019602,           0.0047493,            0.002212,             0.96069,              0.9549,              0.9734,             0.69757,            0.023917,           0.0066644,           0.0040192,            0.004456,            0.004456,            0.004456
                 114,            0.018761,           0.0046838,           0.0021747,             0.95482,               0.959,             0.97628,             0.69967,            0.023773,           0.0066146,           0.0038868,           0.0044065,           0.0044065,           0.0044065
                 115,            0.019141,           0.0046276,            0.002248,             0.96357,             0.95661,             0.97574,             0.69735,            0.023503,            0.006575,           0.0039477,            0.004357,            0.004357,            0.004357
                 116,            0.019205,           0.0045993,           0.0022415,             0.94424,             0.97089,             0.97606,             0.70372,            0.023654,           0.0066625,           0.0039207,           0.0043075,           0.0043075,           0.0043075
                 117,            0.019286,           0.0046897,           0.0022794,              0.9612,             0.95446,             0.97606,             0.70488,            0.023447,           0.0066561,           0.0038633,            0.004258,            0.004258,            0.004258
                 118,             0.01878,           0.0046904,           0.0021013,             0.95277,              0.9652,             0.97635,             0.70111,            0.023811,            0.006719,           0.0038626,           0.0042085,           0.0042085,           0.0042085
                 119,            0.018545,           0.0046707,           0.0022013,             0.94825,               0.971,             0.97426,             0.69771,            0.023688,           0.0066038,           0.0040101,            0.004159,            0.004159,            0.004159
                 120,            0.018125,           0.0046372,           0.0020638,             0.94309,             0.97137,             0.97688,              0.7021,            0.023639,           0.0065684,           0.0041353,           0.0041095,           0.0041095,           0.0041095
                 121,            0.018413,           0.0045665,           0.0021385,              0.9483,             0.96844,             0.97629,             0.70268,            0.023279,           0.0066302,           0.0039689,             0.00406,             0.00406,             0.00406
                 122,            0.018692,           0.0045474,           0.0022325,             0.94897,             0.97039,             0.98037,              0.7034,            0.023232,           0.0065652,           0.0039526,           0.0040105,           0.0040105,           0.0040105
                 123,            0.018159,           0.0047147,           0.0021257,             0.96245,             0.95476,             0.97505,             0.70359,            0.023329,            0.006657,           0.0035902,            0.003961,            0.003961,            0.003961
                 124,            0.017985,           0.0045733,           0.0021427,             0.95587,             0.96589,             0.97911,             0.70226,            0.023271,           0.0066373,           0.0035352,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018234,           0.0045368,           0.0020852,             0.96218,             0.96426,             0.97946,             0.70586,            0.023167,           0.0066457,           0.0032943,            0.003862,            0.003862,            0.003862
                 126,            0.018545,           0.0044803,           0.0022604,             0.95179,             0.97293,             0.97785,             0.70158,            0.023614,           0.0067765,           0.0035526,           0.0038125,           0.0038125,           0.0038125
                 127,            0.018413,           0.0046198,           0.0020784,             0.95601,              0.9595,             0.97667,             0.69867,            0.023848,           0.0068461,           0.0038727,            0.003763,            0.003763,            0.003763
                 128,            0.017668,           0.0044963,           0.0021517,             0.95582,             0.96547,              0.9774,             0.70047,            0.023578,           0.0068115,           0.0037869,           0.0037135,           0.0037135,           0.0037135
                 129,            0.017966,           0.0045246,           0.0021134,             0.95422,             0.97032,             0.97951,             0.70347,            0.023557,           0.0066616,           0.0037377,            0.003664,            0.003664,            0.003664
                 130,            0.017967,           0.0045285,           0.0021995,              0.9582,             0.95875,             0.97653,             0.69972,            0.023371,           0.0066802,           0.0038606,           0.0036145,           0.0036145,           0.0036145
                 131,            0.017768,           0.0044057,           0.0020334,             0.95651,             0.95938,             0.97809,             0.69771,             0.02355,           0.0067559,           0.0038614,            0.003565,            0.003565,            0.003565
                 132,            0.017423,           0.0044404,           0.0019704,             0.95196,             0.95942,             0.97456,             0.69821,            0.023488,              0.0068,           0.0039452,           0.0035155,           0.0035155,           0.0035155
